#Count FB MS CCS
0 0 0 0
1 0 0 0
2 1 0 2
3 2 1.5 1.5
4 3 2.5 1.71429
5 4 2.66667 2
6 5 3.66667 2.14286
7 6 5.25 2.33333
8 7 6.375 2.43478
9 8 5.6 2.57143
10 9 6.66667 2.64706
11 10 8.05556 2.75
12 11 9.16667 2.80851
13 12 10.5714 2.88889
14 13 11.7143 2.93548
15 14 13.125 3
16 15 14.2917 3.03797
17 16 12 3.09091
18 17 13.1111 3.12245
19 18 14.4 3.16667
20 19 15.525 3.19328
21 20 16.8182 3.23077
22 21 17.9545 3.25352
23 22 19.25 3.28571
24 23 20.3958 3.30539
25 24 21.6923 3.33333
26 25 22.8462 3.35052
27 26 24.1429 3.375
28 27 25.3036 3.39013
29 28 26.6 3.41176
30 29 27.7667 3.4252
31 30 29.0625 3.44444
32 31 30.2344 3.45645
33 32 25.4118 3.47368
34 33 26.5412 3.48447
35 34 27.7667 3.5
36 35 28.9 3.50975
37 36 30.1263 3.52381
38 37 31.2632 3.53266
39 38 32.49 3.54545
40 39 33.63 3.55353
41 40 34.8571 3.56522
42 41 36 3.57261
43 42 37.2273 3.58333
44 43 38.3727 3.59013
45 44 39.6 3.6
46 45 40.7478 3.60627
47 46 41.975 3.61538
48 47 43.125 3.62119
49 48 44.352 3.62963
50 49 45.504 3.63501
51 50 46.7308 3.64286
