Count MS FB CCS
0 0 0 0
1 0 0 0
2 1 1 1
3 2.4 1.6 1.6
4 3.75 2.25 3
5 4.92308 2.46154 3.07692
6 7.33333 2.77778 4.66667
7 8.96 2.88 4.8
8 10.625 3.0625 6.5
9 10.2439 3.12195 6.63415
10 14 3.24 8.4
11 17.1148 3.27869 8.19672
12 17.4167 3.36111 8.75
13 17.4118 2.71059 8.70588
14 19.2449 2.58673 10.6531
15 21.5044 3.46903 8.14159
16 20.6719 2.10938 9.14062
17 20.8552 2.26995 9.4069
18 20.3951 1.98217 10.963
19 24.0442 1.79006 8.72928
20 23.46 1.805 8.75
21 27.457 1.64541 9.93665
22 28.7273 1.56198 8.06061
23 29.1623 1.46113 7.4239
24 29.6667 1.3776 8.45833
25 26.4281 1.71757 7.26006
26 25.1893 1.32079 8.25444
27 27.9233 1.11123 7.85936
28 28.3622 1.2398 8.2398
29 30.8694 1.15587 9.16865
30 28.56 1.24593 9.40333
31 26.2952 1.2474 9.39917
32 37.2891 1.05109 8.94531
33 26.7523 1.12734 7.75642
34 31.7128 0.916581 8.1562
35 29.2561 1.20006 9.42088
36 32.5833 1.043 7.40329
37 34.3533 1.04385 9.48321
38 31.5374 0.784602 7.20222
39 40.8962 0.910802 7.66998
40 40.71 0.88725 7.87313
41 31.7693 0.951249 7.35689
42 38.1429 0.737766 8.05102
43 40.8973 0.789115 8.4036
44 35.2996 0.826 8.73701
45 33.5123 0.781836 8.6842
46 40.6673 0.765595 8.26717
47 32.8995 0.726354 9.32001
48 38.6719 0.742272 12.6562
49 32.6978 0.677083 7.19976
50 30.336 0.8232 7.7088
51 30.2583 0.689805 7.4186
