#Count FB MS CCS
0 0 0 0
1 0 0 0
2 1 1 1
3 2 3 3
4 2.25 3.75 3
5 2.66667 4 3.33333
6 2.77778 4.88889 3.33333
7 3 7 3.5
8 3.0625 7.96875 3.5
9 2.4 7 3.6
10 2.16 8 3.6
11 2.22222 8.7 3.66667
12 3.36111 8.55556 3.66667
13 1.90476 9.98413 3.71429
14 2.12245 10.5986 3.09524
15 1.61538 12.3214 3.28125
16 1.40625 16.0781 3
17 1.52381 10.875 2.64444
18 1.1893 10.3796 3.19658
19 1.28571 10.8444 2.85
20 1.14 13.11 2.85
21 1.10672 16.65 2.91979
22 1.12142 15.0165 2.64336
23 1.12821 15.1136 2.65385
24 0.918403 16.0694 2.5
25 1.05495 15.2147 2.42915
26 0.924556 15.5237 2.63158
27 0.696429 18.4286 2.62286
28 0.743878 17.5735 2.94958
29 0.933333 17.9143 2.50196
30 0.778704 21.6844 2.57778
31 0.75 20.15 2.36806
32 0.67034 21.9199 2.39881
33 0.784314 17.2059 2.37951
34 0.672887 20.4913 2.40974
35 0.795322 17.5824 2.26852
36 0.56713 18.9676 2.77778
37 0.557276 24.0825 2.3125
38 0.659521 18.8158 2.33684
39 0.59375 23.85 2.45556
40 0.63375 22.3905 2.38333
41 0.560224 26.5786 2.20269
42 0.529415 20.7857 2.26728
43 0.572727 28.3636 2.26316
44 0.6195 25.0835 2.28825
45 0.600171 24.3 2.23602
46 0.455712 23.0851 2.19512
47 0.419271 30.7076 2.15417
48 0.511343 24.2188 2.01768
49 0.610909 27.72 2.37263
50 0.37479 25.7856 2.156
51 0.512821 30.7302 2.13986
