Count MS FB CCS
0 0 0 0
1 0 0 0
2 1 1 1
3 2.4 1.6 1.6
4 3.75 2.25 3
5 4.92308 2.46154 3.07692
6 6.11111 2.77778 3.11111
7 4.48 2.112 2.88
8 4.25 2.25658 2.5
9 3.27805 2.0813 2.28659
10 4 2.01405 2.25
11 3.39578 2.08644 2.06557
12 2.86458 1.92063 2.2037
13 2.77005 1.87656 2.21699
14 2.5102 2.0119 1.9898
15 2.53872 1.97654 1.94259
16 2.60312 1.85198 1.82292
17 2.23448 1.8947 1.82897
18 2.22352 1.8098 1.82716
19 2.22257 1.81243 1.94313
20 2.1252 1.86037 1.81246
21 2.22335 1.87699 1.72863
22 2.12717 1.88454 1.70579
23 2.07094 1.84973 1.73208
24 2.16319 1.82955 1.70895
25 2.1623 1.80989 1.71478
26 2.08113 1.83756 1.70736
27 2.07367 1.75284 1.69348
28 2.10809 1.8186 1.70958
29 1.9201 1.73926 1.60465
30 1.96299 1.7443 1.67032
31 1.97461 1.77568 1.6109
32 2.04215 1.73998 1.68218
33 1.9156 1.7705 1.63095
34 1.8896 1.74504 1.63713
35 1.9892 1.71437 1.64157
36 1.88889 1.75196 1.5983
37 1.83645 1.76278 1.58938
38 1.98516 1.77083 1.6196
39 1.90836 1.69237 1.56996
40 1.8113 1.73304 1.56416
41 1.85754 1.74396 1.58894
42 1.88153 1.68916 1.57258
43 1.84986 1.67854 1.56048
44 1.87322 1.70917 1.58126
45 1.926 1.72456 1.57625
46 1.83139 1.70976 1.55221
47 1.91143 1.74651 1.64111
48 1.86266 1.68335 1.57628
49 1.86452 1.7038 1.57222
50 1.76006 1.67656 1.57631
51 1.7795 1.67069 1.58
