#Count FB MS CCS
0 0 0 0
1 0 0 0
2 1 0 1
3 1 3 3
4 1.5 3.75 3
5 2 4 3.33333
6 3.33333 4.88889 3.33333
7 4 7 3.5
8 5.25 7.96875 3.5
9 6 7 3.6
10 7.2 8 3
11 8 9.66667 3.05556
12 9.16667 10.6944 3.66667
13 9.42857 12.3333 3.18367
14 11.1429 13.3878 3.09524
15 10.75 13.9286 3.28125
16 12.4219 15.3125 2.8125
17 12.6667 12.75 3.2381
18 13.642 14.3858 3.30556
19 14.4 14.5778 3.04
20 15.2 16.215 2.76364
21 16 16.8182 3
22 16.8347 16.9752 2.69519
23 18.5 17.5 2.68333
24 19.3264 19.6233 2.875
25 18.6154 19.5833 2.64423
26 19.9704 20.9423 2.50836
27 19.5714 21.4286 2.68323
28 20.801 21.8278 2.4958
29 23.7333 23.2071 2.37949
30 24.36 24.0644 2.37949
31 22.375 25.575 2.58333
32 23.7344 26.3291 2.66406
33 24.4706 23.4265 2.53846
34 26.4913 23.2235 2.17412
35 25.2222 24.7882 2.77778
36 25.9259 24.2722 2.54274
37 26.2105 23.8965 2.27193
38 27.8781 25.8698 2.33684
39 29.1 26.82 2.28621
40 29.055 27.435 2.4375
41 28.5714 26.7529 2.52661
42 33.3764 30.4286 2.48485
43 29.9091 29.461 2.12208
44 30.0289 30.15 2.12208
45 31.3043 30.8455 2.17391
46 31.8147 32.6949 2.22092
47 33.4167 33.8022 2.17593
48 35.7396 33.6719 2.10163
49 36.72 34.496 2.205
50 35.3584 36.8582 2.17778
51 35.5385 34.8425 2.10507
